date,buy,sell
2024-05-27,15915.02,16074.98
2024-05-22,15943.88,16104.12
2024-05-21,15900.1,16059.9
2024-05-20,15898.11,16057.89
2024-05-17,15864.28,16023.72
2024-05-16,15989.65,16150.35
2024-05-15,16050.34,16211.66
2024-05-14,16004.58,16165.42
2024-05-13,16000.59,16161.41
2024-05-08,15973.73,16134.27
2024-05-07,15944.88,16105.13
2024-05-06,16013.53,16174.47
2024-05-03,16120.99,16283.01
2024-05-02,16194.62,16357.38
2024-04-30,16167.75,16330.25
2024-04-29,16140.89,16303.11
2024-04-26,16126.96,16289.04
2024-04-25,16080.19,16241.81
2024-04-24,16162.78,16325.22
2024-04-23,16142.88,16305.12
2024-04-22,16198.6,16361.4
2024-04-19,16096.11,16257.89
2024-04-18,16158.8,16321.2
2024-04-17,16095.12,16256.88
2024-04-16,15793.64,15952.36
2024-04-05,15827.47,15986.53
2024-04-04,15843.39,16002.61
2024-04-03,15854.33,16013.67
2024-04-02,15829.45,15988.55
2024-04-01,15793.64,15952.36
2024-03-28,15773.74,15932.26
2024-03-27,15718.01,15875.99
2024-03-26,15716.02,15873.98
2024-03-25,15694.14,15851.86
2024-03-22,15583.69,15740.31
2024-03-21,15648.36,15805.64
2024-03-20,15633.44,15790.56
2024-03-19,15593.64,15750.36
2024-03-18,15545.88,15702.12
2024-03-15,15504.09,15659.91
2024-03-14,15498.12,15653.88
2024-03-13,15524.99,15681.01
2024-03-08,15579.71,15736.29
2024-03-07,15644.39,15801.61
2024-03-06,15677.22,15834.78
2024-03-05,15644.39,15801.61
2024-03-04,15617.52,15774.48
2024-03-01,15636.42,15793.58
2024-02-29,15594.64,15751.36
2024-02-28,15576.73,15733.27
2024-02-27,15556.83,15713.17
2024-02-26,15511.06,15666.94
2024-02-23,15551.85,15708.15
2024-02-22,15579.71,15736.29
2024-02-21,15580.7,15737.3
2024-02-20,15551.85,15708.15
2024-02-19,15575.73,15732.27
2024-02-16,15527.97,15684.03
2024-02-15,15507.08,15662.92
2024-02-13,15533.94,15690.06
2024-02-12,15606.58,15763.42
2024-02-07,15655.33,15812.67
2024-02-06,15626.48,15783.52
2024-02-05,15609.56,15766.44
2024-02-02,15696.13,15853.88
2024-02-01,15723.99,15882.01
2024-01-31,15717.02,15874.98
2024-01-30,15745.88,15904.13
2024-01-29,15749.85,15908.15
2024-01-26,15688.17,15845.83
